	v
IGHV8-11*01	232
IGHV1-20*01	229
IGHV5-9-2*01	225
IGHV8-2*01	217
IGHV1-20*02	200
IGHV1-2*01	193
IGHV1-11*01	177
IGHV1S132*01	174
IGHV1-54*03	149
IGHV13-2*02	145
IGHV6-7*02	142
IGHV1S126*01	141
IGHV10-3*02	140
IGHV15-2*02	134
IGHV10-3*03	130
IGHV3-2*01	128
IGHV8S1*01	127
IGHV5-15*05	125
IGHV3-8*02	125
IGHV8-8-1*01	109
IGHV1-49*01	104
IGHV15-2*01	103
IGHV1-62-3*01	92
IGHV5-9-5*01	91
IGHV2-9*01	89
IGHV14-2*02	89
IGHV1S36*02	88
IGHV1S82*01	87
IGHV2-7*01	74
IGHV5S21*01	74
IGHV2-2-2*01	72
IGHV2-4*01	70
IGHV1-23*01	65
IGHV12-3*01	62
IGHV7-4*01	61
IGHV1S40*01	61
IGHV1-43*01	61
IGHV1S53*03	60
IGHV3-3*01	58
IGHV8-4*01	57
IGHV11-1*02	53
IGHV1S12*01	49
IGHV5-6*03	46
IGHV2-2*03	44
IGHV5-4*03	43
IGHV9-2*02	43
IGHV5-15*01	41
IGHV1-27*01	40
IGHV1-54*02	38
IGHV2-6-7*02	37
IGHV6-3*03	36
IGHV1-86*01	35
IGHV1-21-1*01	33
IGHV1-70*01	31
IGHV1-38*01	29
IGHV5-2*02	29
IGHV11-1*01	29
IGHV2-2-1*01	27
IGHV5S12*01	27
IGHV12-1-1*01	26
IGHV1-25*01	26
IGHV1-83*01	26
IGHV5-15*04	25
IGHV1-71*02	23
IGHV8-6*01	22
IGHV10S4*01	20
IGHV1S30*01	19
IGHV2-6-6*01	18
IGHV8-7*01	18
IGHV1-72*04	18
IGHV8-13*01	16
IGHV1-33*01	16
IGHV1-79*01	16
IGHV1S30*02	15
IGHV1S10*02	14
IGHV9S8*01	14
IGHV1-32*01	13
IGHV7-4*04	13
IGHV1-13*01	13
IGHV1-53*03	12
IGHV1S46*01	11
IGHV5-1*02	11
IGHV1S26*01	11
IGHV1S50*01	10
IGHV1-64*02	9
IGHV3-4*02	9
IGHV7-1*01	9
IGHV1S108*01	8
IGHV7-4*03	8
IGHV3-4*01	7
IGHV5-16*02	6
IGHV1-17*01	6
IGHV1-62*01	6
IGHV5S4*01	6
IGHV10S5*01	6
IGHV5-6*02	5
IGHV1S134*01	5
IGHV8-5*02	5
IGHV1S33*01	5
IGHV8-9*01	5
IGHV7-3*04	5
IGHV6-5*01	5
IGHV5-6-4*02	4
IGHV3-5*01	4
IGHV5-9*04	4
IGHV1S5*01	4
IGHV6-5*02	4
IGHV1-18*03	4
IGHV1S14*01	4
IGHV4-2*01	3
IGHV3-5*02	3
IGHV9S7*01	3
IGHV1S19*01	3
IGHV5-1*01	3
IGHV1-73*01	3
IGHV9-3*03	3
IGHV5-12*03	3
IGHV1S75*02	2
IGHV1S75*01	2
IGHV1S10*01	2
IGHV1S121*01	2
IGHV1-56*02	2
IGHV6-4*02	2
IGHV1S96*01	2
IGHV7-3*03	2
IGHV1S9*01	2
IGHV5-17*03	2
IGHV1-74*03	2
IGHV1S36*01	2
IGHV1-53*04	2
IGHV5-6-2*02	1
IGHV2-6-3*01	1
IGHV3S1*01	1
IGHV1S17*01	1
IGHV1S15*01	1
IGHV1-21*01	1
IGHV5-2*03	1
IGHV5-15*03	1
