	v	d	j	frequency
193	IGHV1S81*02	NA	IGHJ2*01	633
194	IGHV2-6-2*01	NA	IGHJ4*01	616
195	IGHV1-14*01	NA	IGHJ4*01	612
196	IGHV5-17*01	NA	IGHJ2*01	611
197	IGHV2-9*02	NA	IGHJ4*01	609
198	IGHV1-85*01	NA	IGHJ4*01	609
199	IGHV1-18*01	NA	IGHJ3*01	606
200	IGHV1-50*01	NA	IGHJ4*01	606
201	IGHV10-1*01	NA	IGHJ3*01	599
202	IGHV1-47*01	NA	IGHJ3*01	598
203	IGHV1-71*01	NA	IGHJ4*01	596
204	IGHV1-58*01	NA	IGHJ4*01	596
205	IGHV1S56*01	NA	IGHJ1*01	595
206	IGHV1-52*01	IGHD1-1*01	IGHJ3*01	589
207	IGHV5-6-1*01	NA	IGHJ4*01	589
208	IGHV1-52*01	IGHD1-1*01	IGHJ2*01	587
209	IGHV1-39*01	NA	IGHJ2*01	584
210	IGHV1-66*01	NA	IGHJ4*01	580
211	IGHV1-39*01	NA	IGHJ3*01	577
212	IGHV14-3*01	NA	IGHJ2*01	577
213	IGHV1-64*01	IGHD1-1*01	IGHJ3*01	576
214	IGHV6-3*01	NA	IGHJ4*01	573
215	IGHV1-9*01	IGHD2-3*01	IGHJ4*01	572
216	IGHV1-14*01	NA	IGHJ1*01	571
217	IGHV14-1*01	NA	IGHJ3*01	566
218	IGHV1-80*01	NA	IGHJ1*03	564
219	IGHV7-3*01	NA	IGHJ3*01	561
220	IGHV3-2*02	IGHD1-1*01	IGHJ1*01	557
221	IGHV1-75*01	NA	IGHJ3*01	556
222	IGHV1-54*01	IGHD1-1*01	IGHJ1*03	551
223	IGHV1-53*01	IGHD1-1*01	IGHJ1*03	551
224	IGHV8-8*01	NA	IGHJ1*03	551
225	IGHV3-1*01	NA	IGHJ4*01	550
226	IGHV9-4*01	NA	IGHJ4*01	544
227	IGHV14-1*02	NA	IGHJ2*01	543
228	IGHV9-3-1*01	NA	IGHJ3*01	540
229	IGHV1-64*01	IGHD1-1*01	IGHJ4*01	537
230	IGHV5-17*02	NA	IGHJ2*01	531
231	IGHV1S56*01	NA	IGHJ4*01	527
232	IGHV5-4*02	NA	IGHJ3*01	526
233	IGHV1-50*01	NA	IGHJ1*03	523
234	IGHV2-2*01	NA	IGHJ1*03	521
235	IGHV2-3*01	NA	IGHJ1*03	514
236	IGHV1-26*01	IGHD2-8*01	IGHJ4*01	513
237	IGHV5-17*01	NA	IGHJ1*03	512
238	IGHV1-64*01	IGHD1-1*01	IGHJ1*03	502
239	IGHV14-4*01	NA	IGHJ4*01	501
240	IGHV1-75*01	NA	IGHJ4*01	500
241	IGHV1-71*01	NA	IGHJ2*01	500
242	IGHV1-82*01	IGHD1-1*01	IGHJ2*01	497
243	IGHV6-6*01	IGHD2-6*01	IGHJ1*03	495
244	IGHV9-3*02	NA	IGHJ4*01	491
245	IGHV2-6-5*01	IGHD1-1*01	IGHJ4*01	491
246	IGHV1-26*01	IGHD1-1*01	IGHJ3*01	489
247	IGHV6-3*01	NA	IGHJ3*01	486
248	IGHV3-2*02	IGHD1-1*01	IGHJ3*01	485
249	IGHV5-6-1*01	NA	IGHJ2*01	483
250	IGHV1-78*01	NA	IGHJ3*01	483
251	IGHV1-82*01	NA	IGHJ1*01	482
252	IGHV5-4*02	NA	IGHJ4*01	479
253	IGHV2-2*01	NA	IGHJ3*01	479
254	IGHV5-6-5*01	NA	IGHJ4*01	479
255	IGHV1-72*01	IGHD1-1*01	IGHJ1*03	476
256	IGHV1-15*01	IGHD1-1*01	IGHJ1*03	473
257	IGHV3-1*02	NA	IGHJ2*01	472
258	IGHV1-18*01	NA	IGHJ1*03	472
259	IGHV2-9-1*01	NA	IGHJ3*01	467
260	IGHV1-82*01	IGHD1-1*02	IGHJ2*01	462
261	IGHV6-6*01	NA	IGHJ1*03	461
262	IGHV1-61*01	NA	IGHJ1*03	458
263	IGHV1-54*01	NA	IGHJ4*01	458
264	IGHV6-6*02	NA	IGHJ2*01	457
265	IGHV1-53*01	IGHD1-1*01	IGHJ4*01	456
266	IGHV10-3*01	NA	IGHJ2*01	452
