	d	j	v	frequency	frequency
64	IGHD2-11*02	IGHJ4*01	IGHV1-14*01	NA	NA
65	IGHD2-14*01	IGHJ2*01	IGHV1-14*01	NA	NA
66	IGHD2-14*01	IGHJ3*01	IGHV1-14*01	NA	NA
67	IGHD2-14*01	IGHJ4*01	IGHV1-14*01	NA	NA
68	IGHD2-3*01	IGHJ2*01	IGHV1-14*01	NA	NA
69	IGHD2-3*01	IGHJ3*01	IGHV1-14*01	NA	NA
70	IGHD2-3*01	IGHJ4*01	IGHV1-14*01	NA	NA
71	IGHD2-7*01	IGHJ1*01	IGHV1-14*01	NA	NA
72	IGHD2-8*01	IGHJ2*01	IGHV1-14*01	NA	NA
73	IGHD2-8*01	IGHJ3*01	IGHV1-14*01	NA	NA
74	IGHD2-8*01	IGHJ4*01	IGHV1-14*01	NA	NA
75	IGHD2-9*01	IGHJ1*01	IGHV1-14*01	NA	NA
76	IGHD2-9*01	IGHJ3*01	IGHV1-14*01	NA	NA
77	IGHD2-9*01	IGHJ4*01	IGHV1-14*01	NA	NA
78	IGHD2-9*02	IGHJ3*01	IGHV1-14*01	NA	NA
79	IGHD2-9*02	IGHJ4*01	IGHV1-14*01	NA	NA
80	IGHD3-1*01	IGHJ4*01	IGHV1-14*01	NA	NA
81	IGHD3-2*01	IGHJ2*01	IGHV1-14*01	NA	NA
82	IGHD3-2*01	IGHJ3*01	IGHV1-14*01	NA	NA
83	IGHD3-2*01	IGHJ4*01	IGHV1-14*01	NA	NA
84	NA	IGHJ1*01	IGHV1-14*01	NA	NA
85	NA	IGHJ1*03	IGHV1-14*01	NA	NA
86	NA	IGHJ2*01	IGHV1-14*01	NA	NA
87	NA	IGHJ2*02	IGHV1-14*01	NA	NA
88	NA	IGHJ3*01	IGHV1-14*01	NA	NA
89	NA	IGHJ3*02	IGHV1-14*01	NA	NA
90	NA	IGHJ4*01	IGHV1-14*01	NA	NA
91	IGHD1-1*01	IGHJ1*01	IGHV1-15*01	NA	NA
92	IGHD1-1*01	IGHJ1*03	IGHV1-15*01	NA	NA
93	IGHD1-1*01	IGHJ2*01	IGHV1-15*01	NA	NA
94	IGHD1-1*01	IGHJ2*02	IGHV1-15*01	NA	NA
95	IGHD1-1*01	IGHJ3*01	IGHV1-15*01	NA	NA
96	IGHD1-1*01	IGHJ4*01	IGHV1-15*01	NA	NA
97	IGHD1-1*02	IGHJ1*03	IGHV1-15*01	NA	NA
98	IGHD1-1*02	IGHJ2*01	IGHV1-15*01	NA	NA
99	IGHD1-2*01	IGHJ3*01	IGHV1-15*01	NA	NA
100	IGHD1-2*01	IGHJ4*01	IGHV1-15*01	NA	NA
101	IGHD2-11*02	IGHJ2*01	IGHV1-15*01	NA	NA
102	IGHD2-11*02	IGHJ3*01	IGHV1-15*01	NA	NA
103	IGHD2-14*01	IGHJ3*01	IGHV1-15*01	NA	NA
104	IGHD2-14*01	IGHJ4*01	IGHV1-15*01	NA	NA
105	IGHD2-3*01	IGHJ1*03	IGHV1-15*01	NA	NA
106	IGHD2-3*01	IGHJ2*01	IGHV1-15*01	NA	NA
107	IGHD2-3*01	IGHJ3*01	IGHV1-15*01	NA	NA
108	IGHD2-3*01	IGHJ4*01	IGHV1-15*01	NA	NA
109	IGHD2-6*01	IGHJ1*03	IGHV1-15*01	NA	NA
110	IGHD2-6*01	IGHJ2*01	IGHV1-15*01	NA	NA
111	IGHD2-6*01	IGHJ2*02	IGHV1-15*01	NA	NA
112	IGHD2-6*01	IGHJ3*01	IGHV1-15*01	NA	NA
113	IGHD2-6*01	IGHJ4*01	IGHV1-15*01	NA	NA
114	IGHD2-7*01	IGHJ1*01	IGHV1-15*01	NA	NA
115	IGHD2-7*01	IGHJ2*01	IGHV1-15*01	NA	NA
116	IGHD2-7*01	IGHJ3*01	IGHV1-15*01	NA	NA
117	IGHD2-7*01	IGHJ4*01	IGHV1-15*01	NA	NA
118	IGHD2-8*01	IGHJ1*01	IGHV1-15*01	NA	NA
119	IGHD2-8*01	IGHJ2*01	IGHV1-15*01	NA	NA
120	IGHD2-8*01	IGHJ3*01	IGHV1-15*01	NA	NA
121	IGHD2-8*01	IGHJ4*01	IGHV1-15*01	NA	NA
122	IGHD2-9*01	IGHJ3*01	IGHV1-15*01	NA	NA
123	IGHD2-9*02	IGHJ2*01	IGHV1-15*01	NA	NA
124	IGHD2-9*02	IGHJ3*01	IGHV1-15*01	NA	NA
125	IGHD2-9*02	IGHJ4*01	IGHV1-15*01	NA	NA
126	IGHD3-2*01	IGHJ3*01	IGHV1-15*01	NA	NA
127	IGHD3-2*01	IGHJ4*01	IGHV1-15*01	NA	NA
128	IGHD3-2*02	IGHJ3*01	IGHV1-15*01	NA	NA
129	IGHD3-2*02	IGHJ4*01	IGHV1-15*01	NA	NA
130	NA	IGHJ1*01	IGHV1-15*01	NA	NA
131	NA	IGHJ1*03	IGHV1-15*01	NA	NA
132	NA	IGHJ2*01	IGHV1-15*01	NA	NA
133	NA	IGHJ2*02	IGHV1-15*01	NA	NA
134	NA	IGHJ3*01	IGHV1-15*01	NA	NA
135	NA	IGHJ3*02	IGHV1-15*01	NA	NA
136	NA	IGHJ4*01	IGHV1-15*01	NA	NA
137	IGHD1-1*01	IGHJ4*01	IGHV1-17*01	NA	NA
138	NA	IGHJ3*01	IGHV1-17*01	NA	NA
139	NA	IGHJ4*01	IGHV1-17*01	NA	NA
140	IGHD1-1*01	IGHJ1*01	IGHV1-18*01	NA	NA
141	IGHD1-1*01	IGHJ1*03	IGHV1-18*01	NA	NA
142	IGHD1-1*01	IGHJ2*01	IGHV1-18*01	NA	NA
143	IGHD1-1*01	IGHJ3*01	IGHV1-18*01	NA	NA
144	IGHD1-1*01	IGHJ4*01	IGHV1-18*01	NA	NA
145	IGHD1-2*01	IGHJ2*01	IGHV1-18*01	NA	NA
146	IGHD2-11*02	IGHJ2*01	IGHV1-18*01	NA	NA
147	IGHD2-11*02	IGHJ3*01	IGHV1-18*01	NA	NA
148	IGHD2-14*01	IGHJ4*01	IGHV1-18*01	NA	NA
149	IGHD2-3*01	IGHJ2*01	IGHV1-18*01	NA	NA
150	IGHD2-3*01	IGHJ3*01	IGHV1-18*01	NA	NA
151	IGHD2-3*01	IGHJ4*01	IGHV1-18*01	NA	NA
152	IGHD2-6*01	IGHJ2*01	IGHV1-18*01	NA	NA
153	IGHD2-6*01	IGHJ3*01	IGHV1-18*01	NA	NA
154	IGHD2-6*01	IGHJ4*01	IGHV1-18*01	NA	NA
155	IGHD2-7*01	IGHJ2*01	IGHV1-18*01	NA	NA
156	IGHD2-7*01	IGHJ3*01	IGHV1-18*01	NA	NA
157	IGHD2-7*01	IGHJ4*01	IGHV1-18*01	NA	NA
158	IGHD2-8*01	IGHJ1*01	IGHV1-18*01	NA	NA
159	IGHD2-8*01	IGHJ1*03	IGHV1-18*01	NA	NA
160	IGHD2-8*01	IGHJ2*01	IGHV1-18*01	NA	NA
161	IGHD2-8*01	IGHJ4*01	IGHV1-18*01	NA	NA
162	IGHD2-9*01	IGHJ3*01	IGHV1-18*01	NA	NA
163	IGHD2-9*02	IGHJ2*01	IGHV1-18*01	NA	NA
164	IGHD2-9*02	IGHJ3*01	IGHV1-18*01	NA	NA
165	IGHD2-9*02	IGHJ4*01	IGHV1-18*01	NA	NA
166	IGHD3-2*01	IGHJ3*01	IGHV1-18*01	NA	NA
167	IGHD3-2*02	IGHJ2*01	IGHV1-18*01	NA	NA
168	IGHD3-2*02	IGHJ3*01	IGHV1-18*01	NA	NA
169	NA	IGHJ1*01	IGHV1-18*01	NA	NA
170	NA	IGHJ1*03	IGHV1-18*01	NA	NA
171	NA	IGHJ2*01	IGHV1-18*01	NA	NA
172	NA	IGHJ2*02	IGHV1-18*01	NA	NA
173	NA	IGHJ3*01	IGHV1-18*01	NA	NA
174	NA	IGHJ3*02	IGHV1-18*01	NA	NA
175	NA	IGHJ4*01	IGHV1-18*01	NA	NA
176	NA	IGHJ3*01	IGHV1-18*03	NA	NA
177	IGHD1-1*01	IGHJ1*03	IGHV1-19*01	NA	NA
178	IGHD1-1*01	IGHJ2*01	IGHV1-19*01	NA	NA
179	IGHD1-1*01	IGHJ3*01	IGHV1-19*01	NA	NA
180	IGHD1-1*01	IGHJ4*01	IGHV1-19*01	NA	NA
181	IGHD1-1*02	IGHJ2*01	IGHV1-19*01	NA	NA
182	IGHD2-3*01	IGHJ1*03	IGHV1-19*01	NA	NA
183	IGHD2-3*01	IGHJ3*01	IGHV1-19*01	NA	NA
184	IGHD2-3*01	IGHJ4*01	IGHV1-19*01	NA	NA
185	IGHD2-6*01	IGHJ3*01	IGHV1-19*01	NA	NA
186	IGHD2-8*01	IGHJ2*01	IGHV1-19*01	NA	NA
187	IGHD2-8*01	IGHJ3*01	IGHV1-19*01	NA	NA
188	IGHD2-8*01	IGHJ4*01	IGHV1-19*01	NA	NA
189	IGHD2-9*01	IGHJ1*03	IGHV1-19*01	NA	NA
190	IGHD2-9*01	IGHJ2*01	IGHV1-19*01	NA	NA
191	IGHD2-9*02	IGHJ2*01	IGHV1-19*01	NA	NA
192	IGHD2-9*02	IGHJ3*01	IGHV1-19*01	NA	NA
193	IGHD2-9*02	IGHJ4*01	IGHV1-19*01	NA	NA
194	IGHD3-2*02	IGHJ2*01	IGHV1-19*01	NA	NA
195	IGHD3-2*02	IGHJ3*01	IGHV1-19*01	NA	NA
196	IGHD3-2*02	IGHJ4*01	IGHV1-19*01	NA	NA
197	NA	IGHJ1*01	IGHV1-19*01	NA	NA
198	NA	IGHJ1*03	IGHV1-19*01	NA	NA
199	NA	IGHJ2*01	IGHV1-19*01	NA	NA
200	NA	IGHJ2*02	IGHV1-19*01	NA	NA
201	NA	IGHJ2*03	IGHV1-19*01	NA	NA
202	NA	IGHJ3*01	IGHV1-19*01	NA	NA
203	NA	IGHJ4*01	IGHV1-19*01	NA	NA
204	IGHD1-1*01	IGHJ1*03	IGHV1-2*01	NA	NA
205	IGHD1-1*01	IGHJ2*01	IGHV1-2*01	NA	NA
206	IGHD1-1*01	IGHJ3*01	IGHV1-2*01	NA	NA
207	IGHD1-1*01	IGHJ4*01	IGHV1-2*01	NA	NA
208	IGHD2-11*01	IGHJ4*01	IGHV1-2*01	NA	NA
209	IGHD2-11*02	IGHJ4*01	IGHV1-2*01	NA	NA
210	IGHD2-3*01	IGHJ3*01	IGHV1-2*01	NA	NA
211	IGHD2-6*01	IGHJ3*01	IGHV1-2*01	NA	NA
212	IGHD2-7*01	IGHJ3*01	IGHV1-2*01	NA	NA
213	IGHD2-9*02	IGHJ1*03	IGHV1-2*01	NA	NA
214	IGHD2-9*02	IGHJ2*01	IGHV1-2*01	NA	NA
215	IGHD2-9*02	IGHJ3*01	IGHV1-2*01	NA	NA
216	IGHD2-9*02	IGHJ4*01	IGHV1-2*01	NA	NA
217	NA	IGHJ1*01	IGHV1-2*01	NA	NA
218	NA	IGHJ1*03	IGHV1-2*01	NA	NA
219	NA	IGHJ2*01	IGHV1-2*01	NA	NA
220	NA	IGHJ2*02	IGHV1-2*01	NA	NA
221	NA	IGHJ3*01	IGHV1-2*01	NA	NA
222	NA	IGHJ4*01	IGHV1-2*01	NA	NA
223	IGHD1-1*01	IGHJ1*03	IGHV1-20*01	NA	NA
224	IGHD1-1*01	IGHJ2*01	IGHV1-20*01	NA	NA
225	IGHD1-1*01	IGHJ3*01	IGHV1-20*01	NA	NA
226	IGHD1-1*01	IGHJ4*01	IGHV1-20*01	NA	NA
227	IGHD2-6*01	IGHJ3*01	IGHV1-20*01	NA	NA
228	IGHD2-9*02	IGHJ3*01	IGHV1-20*01	NA	NA
229	NA	IGHJ1*03	IGHV1-20*01	NA	NA
230	NA	IGHJ2*01	IGHV1-20*01	NA	NA
231	NA	IGHJ2*02	IGHV1-20*01	NA	NA
232	NA	IGHJ3*01	IGHV1-20*01	NA	NA
233	NA	IGHJ4*01	IGHV1-20*01	NA	NA
234	IGHD1-1*01	IGHJ2*01	IGHV1-20*02	NA	NA
235	IGHD1-1*01	IGHJ4*01	IGHV1-20*02	NA	NA
236	IGHD2-14*01	IGHJ3*01	IGHV1-20*02	NA	NA
237	IGHD2-3*01	IGHJ3*01	IGHV1-20*02	NA	NA
238	IGHD2-8*01	IGHJ4*01	IGHV1-20*02	NA	NA
239	NA	IGHJ1*01	IGHV1-20*02	NA	NA
240	NA	IGHJ2*01	IGHV1-20*02	NA	NA
241	NA	IGHJ2*02	IGHV1-20*02	NA	NA
242	NA	IGHJ3*01	IGHV1-20*02	NA	NA
243	NA	IGHJ4*01	IGHV1-20*02	NA	NA
244	NA	IGHJ3*02	IGHV1-21*01	NA	NA
245	IGHD1-1*01	IGHJ2*01	IGHV1-21-1*01	NA	NA
246	IGHD1-1*01	IGHJ3*01	IGHV1-21-1*01	NA	NA
247	IGHD1-1*01	IGHJ4*01	IGHV1-21-1*01	NA	NA
248	IGHD2-14*01	IGHJ1*01	IGHV1-21-1*01	NA	NA
249	IGHD2-14*01	IGHJ2*01	IGHV1-21-1*01	NA	NA
250	IGHD2-6*01	IGHJ3*01	IGHV1-21-1*01	NA	NA
251	IGHD2-9*02	IGHJ3*01	IGHV1-21-1*01	NA	NA
252	NA	IGHJ1*03	IGHV1-21-1*01	NA	NA
253	NA	IGHJ2*01	IGHV1-21-1*01	NA	NA
254	NA	IGHJ3*01	IGHV1-21-1*01	NA	NA
255	NA	IGHJ4*01	IGHV1-21-1*01	NA	NA
256	IGHD1-1*01	IGHJ1*01	IGHV1-22*01	NA	NA
257	IGHD1-1*01	IGHJ1*03	IGHV1-22*01	NA	NA
258	IGHD1-1*01	IGHJ2*01	IGHV1-22*01	NA	NA
259	IGHD1-1*01	IGHJ2*03	IGHV1-22*01	NA	NA
260	IGHD1-1*01	IGHJ3*01	IGHV1-22*01	NA	NA
261	IGHD1-1*01	IGHJ4*01	IGHV1-22*01	NA	NA
262	IGHD1-1*02	IGHJ1*03	IGHV1-22*01	NA	NA
263	IGHD1-2*01	IGHJ2*01	IGHV1-22*01	NA	NA
264	IGHD1-2*01	IGHJ3*01	IGHV1-22*01	NA	NA
265	IGHD2-11*02	IGHJ3*01	IGHV1-22*01	NA	NA
266	IGHD2-14*01	IGHJ1*01	IGHV1-22*01	NA	NA
267	IGHD2-3*01	IGHJ2*01	IGHV1-22*01	NA	NA
268	IGHD2-3*01	IGHJ3*01	IGHV1-22*01	NA	NA
269	IGHD2-3*01	IGHJ4*01	IGHV1-22*01	NA	NA
270	IGHD2-6*01	IGHJ2*01	IGHV1-22*01	NA	NA
271	IGHD2-6*01	IGHJ3*01	IGHV1-22*01	NA	NA
272	IGHD2-6*01	IGHJ4*01	IGHV1-22*01	NA	NA
273	IGHD2-7*01	IGHJ2*01	IGHV1-22*01	NA	NA
274	IGHD2-7*01	IGHJ3*01	IGHV1-22*01	NA	NA
275	IGHD2-7*01	IGHJ4*01	IGHV1-22*01	NA	NA
276	IGHD2-8*01	IGHJ2*01	IGHV1-22*01	NA	NA
277	IGHD2-8*01	IGHJ4*01	IGHV1-22*01	NA	NA
278	IGHD2-9*01	IGHJ2*01	IGHV1-22*01	NA	NA
279	IGHD2-9*01	IGHJ3*01	IGHV1-22*01	NA	NA
280	IGHD2-9*02	IGHJ2*01	IGHV1-22*01	NA	NA
281	IGHD2-9*02	IGHJ3*01	IGHV1-22*01	NA	NA
282	IGHD2-9*02	IGHJ4*01	IGHV1-22*01	NA	NA
283	IGHD3-2*01	IGHJ3*01	IGHV1-22*01	NA	NA
284	IGHD3-2*02	IGHJ3*01	IGHV1-22*01	NA	NA
285	IGHD3-2*02	IGHJ4*01	IGHV1-22*01	NA	NA
286	NA	IGHJ1*01	IGHV1-22*01	NA	NA
287	NA	IGHJ1*03	IGHV1-22*01	NA	NA
288	NA	IGHJ2*01	IGHV1-22*01	NA	NA
289	NA	IGHJ2*02	IGHV1-22*01	NA	NA
290	NA	IGHJ3*01	IGHV1-22*01	NA	NA
291	NA	IGHJ3*02	IGHV1-22*01	NA	NA
292	NA	IGHJ4*01	IGHV1-22*01	NA	NA
293	IGHD1-1*01	IGHJ1*03	IGHV1-23*01	NA	NA
294	IGHD1-1*01	IGHJ2*01	IGHV1-23*01	NA	NA
295	IGHD1-1*01	IGHJ3*01	IGHV1-23*01	NA	NA
296	IGHD1-1*01	IGHJ4*01	IGHV1-23*01	NA	NA
297	IGHD2-3*01	IGHJ2*01	IGHV1-23*01	NA	NA
298	IGHD2-6*01	IGHJ1*03	IGHV1-23*01	NA	NA
299	IGHD2-8*01	IGHJ2*01	IGHV1-23*01	NA	NA
300	IGHD2-9*02	IGHJ3*01	IGHV1-23*01	NA	NA
301	IGHD2-9*02	IGHJ4*01	IGHV1-23*01	NA	NA
302	NA	IGHJ1*03	IGHV1-23*01	NA	NA
303	NA	IGHJ2*01	IGHV1-23*01	NA	NA
304	NA	IGHJ3*01	IGHV1-23*01	NA	NA
305	NA	IGHJ3*02	IGHV1-23*01	NA	NA
306	NA	IGHJ4*01	IGHV1-23*01	NA	NA
307	IGHD1-1*01	IGHJ1*03	IGHV1-25*01	NA	NA
308	IGHD2-6*01	IGHJ2*01	IGHV1-25*01	NA	NA
309	NA	IGHJ1*03	IGHV1-25*01	NA	NA
310	NA	IGHJ2*01	IGHV1-25*01	NA	NA
311	NA	IGHJ3*01	IGHV1-25*01	NA	NA
312	NA	IGHJ4*01	IGHV1-25*01	NA	NA
313	IGHD1-1*01	IGHJ1*01	IGHV1-26*01	NA	NA
314	IGHD1-1*01	IGHJ1*03	IGHV1-26*01	NA	NA
315	IGHD1-1*01	IGHJ2*01	IGHV1-26*01	NA	NA
316	IGHD1-1*01	IGHJ2*02	IGHV1-26*01	NA	NA
317	IGHD1-1*01	IGHJ3*01	IGHV1-26*01	NA	NA
318	IGHD1-1*01	IGHJ4*01	IGHV1-26*01	NA	NA
319	IGHD1-1*02	IGHJ2*01	IGHV1-26*01	NA	NA
320	IGHD1-1*02	IGHJ3*01	IGHV1-26*01	NA	NA
321	IGHD1-2*01	IGHJ3*01	IGHV1-26*01	NA	NA
322	IGHD2-11*01	IGHJ3*01	IGHV1-26*01	NA	NA
323	IGHD2-11*02	IGHJ2*01	IGHV1-26*01	NA	NA
324	IGHD2-11*02	IGHJ3*01	IGHV1-26*01	NA	NA
325	IGHD2-11*02	IGHJ4*01	IGHV1-26*01	NA	NA
326	IGHD2-13*01	IGHJ2*01	IGHV1-26*01	NA	NA
327	IGHD2-14*01	IGHJ2*01	IGHV1-26*01	NA	NA
328	IGHD2-14*01	IGHJ3*01	IGHV1-26*01	NA	NA
329	IGHD2-14*01	IGHJ4*01	IGHV1-26*01	NA	NA
330	IGHD2-3*01	IGHJ1*01	IGHV1-26*01	NA	NA
331	IGHD2-3*01	IGHJ1*03	IGHV1-26*01	NA	NA
332	IGHD2-3*01	IGHJ2*01	IGHV1-26*01	NA	NA
333	IGHD2-3*01	IGHJ3*01	IGHV1-26*01	NA	NA
334	IGHD2-3*01	IGHJ4*01	IGHV1-26*01	NA	NA
335	IGHD2-6*01	IGHJ1*03	IGHV1-26*01	NA	NA
336	IGHD2-6*01	IGHJ2*01	IGHV1-26*01	NA	NA
337	IGHD2-6*01	IGHJ3*01	IGHV1-26*01	NA	NA
338	IGHD2-6*01	IGHJ4*01	IGHV1-26*01	NA	NA
339	IGHD2-7*01	IGHJ1*03	IGHV1-26*01	NA	NA
340	IGHD2-7*01	IGHJ2*01	IGHV1-26*01	NA	NA
341	IGHD2-7*01	IGHJ3*01	IGHV1-26*01	NA	NA
342	IGHD2-7*01	IGHJ4*01	IGHV1-26*01	NA	NA
343	IGHD2-8*01	IGHJ1*03	IGHV1-26*01	NA	NA
344	IGHD2-8*01	IGHJ2*01	IGHV1-26*01	NA	NA
345	IGHD2-8*01	IGHJ2*02	IGHV1-26*01	NA	NA
346	IGHD2-8*01	IGHJ3*01	IGHV1-26*01	NA	NA
347	IGHD2-8*01	IGHJ4*01	IGHV1-26*01	NA	NA
348	IGHD2-9*01	IGHJ3*01	IGHV1-26*01	NA	NA
349	IGHD2-9*01	IGHJ4*01	IGHV1-26*01	NA	NA
350	IGHD2-9*02	IGHJ1*01	IGHV1-26*01	NA	NA
351	IGHD2-9*02	IGHJ1*03	IGHV1-26*01	NA	NA
352	IGHD2-9*02	IGHJ2*01	IGHV1-26*01	NA	NA
353	IGHD2-9*02	IGHJ3*01	IGHV1-26*01	NA	NA
354	IGHD2-9*02	IGHJ3*02	IGHV1-26*01	NA	NA
355	IGHD2-9*02	IGHJ4*01	IGHV1-26*01	NA	NA
356	IGHD3-2*01	IGHJ2*01	IGHV1-26*01	NA	NA
357	IGHD3-2*02	IGHJ1*03	IGHV1-26*01	NA	NA
358	IGHD3-2*02	IGHJ2*01	IGHV1-26*01	NA	NA
359	IGHD3-2*02	IGHJ3*01	IGHV1-26*01	NA	NA
360	IGHD3-2*02	IGHJ4*01	IGHV1-26*01	NA	NA
361	NA	IGHJ1*01	IGHV1-26*01	NA	NA
362	NA	IGHJ1*03	IGHV1-26*01	NA	NA
363	NA	IGHJ2*01	IGHV1-26*01	NA	NA
364	NA	IGHJ2*02	IGHV1-26*01	NA	NA
365	NA	IGHJ2*03	IGHV1-26*01	NA	NA
366	NA	IGHJ3*01	IGHV1-26*01	NA	NA
367	NA	IGHJ3*02	IGHV1-26*01	NA	NA
368	NA	IGHJ4*01	IGHV1-26*01	NA	NA
369	IGHD1-1*01	IGHJ4*01	IGHV1-27*01	NA	NA
370	IGHD2-14*01	IGHJ1*01	IGHV1-27*01	NA	NA
371	IGHD2-14*01	IGHJ3*01	IGHV1-27*01	NA	NA
372	IGHD2-14*01	IGHJ3*02	IGHV1-27*01	NA	NA
373	IGHD2-3*01	IGHJ3*01	IGHV1-27*01	NA	NA
374	IGHD2-3*01	IGHJ4*01	IGHV1-27*01	NA	NA
375	NA	IGHJ2*01	IGHV1-27*01	NA	NA
376	NA	IGHJ3*01	IGHV1-27*01	NA	NA
377	NA	IGHJ4*01	IGHV1-27*01	NA	NA
378	NA	IGHJ3*01	IGHV1-28*01	NA	NA
379	IGHD1-1*01	IGHJ1*03	IGHV1-31*01	NA	NA
380	IGHD1-1*01	IGHJ2*01	IGHV1-31*01	NA	NA
381	IGHD1-1*01	IGHJ4*01	IGHV1-31*01	NA	NA
382	IGHD2-6*01	IGHJ3*01	IGHV1-31*01	NA	NA
383	NA	IGHJ1*03	IGHV1-31*01	NA	NA
384	NA	IGHJ2*01	IGHV1-31*01	NA	NA
385	NA	IGHJ3*01	IGHV1-31*01	NA	NA
386	NA	IGHJ3*02	IGHV1-31*01	NA	NA
387	NA	IGHJ4*01	IGHV1-31*01	NA	NA
388	IGHD1-1*01	IGHJ3*01	IGHV1-32*01	NA	NA
389	IGHD1-2*01	IGHJ3*01	IGHV1-32*01	NA	NA
390	NA	IGHJ2*01	IGHV1-32*01	NA	NA
391	NA	IGHJ3*01	IGHV1-32*01	NA	NA
392	NA	IGHJ4*01	IGHV1-32*01	NA	NA
393	IGHD1-1*01	IGHJ2*01	IGHV1-33*01	NA	NA
394	IGHD1-1*01	IGHJ3*01	IGHV1-33*01	NA	NA
395	IGHD1-1*01	IGHJ4*01	IGHV1-33*01	NA	NA
