	v	d	j	frequency
139	X62106|IGHV1-2*02|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ6*02|Homo	255
140	M99641|IGHV1-18*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ3*02|Homo	255
141	X62106|IGHV1-2*02|Homo	X13972|IGHD3-9*01|Homo	X86356|IGHJ6*03|Homo	253
142	KC713934|IGHV1-69D*01|Homo	NA	J00256|IGHJ2*01|Homo	252
143	Z14214|IGHV1-69*13|Homo	M35648|IGHD2-2*03|Homo	X86355|IGHJ5*02|Homo	251
144	Z14300|IGHV1-69*10|Homo	X93616|IGHD3-22*01|Homo	X86356|IGHJ6*03|Homo	249
145	M99641|IGHV1-18*01|Homo	J00233|IGHD2-8*02|Homo	X86355|IGHJ3*02|Homo	246
146	Z14214|IGHV1-69*13|Homo	NA	J00256|IGHJ6*01|Homo	245
147	KC713934|IGHV1-69D*01|Homo	X13972|IGHD3-10*01|Homo	X86356|IGHJ6*03|Homo	245
148	M99637|IGHV1-8*01|Homo	NA	X86355|IGHJ5*02|Homo	243
149	L06612|IGHV1-46*03|Homo	NA	X86355|IGHJ6*02|Homo	242
150	M99637|IGHV1-8*01|Homo	NA	X86355|IGHJ6*02|Homo	242
151	KF698733|IGHV1-2*04|Homo	NA	J00256|IGHJ1*01|Homo	242
152	Z14214|IGHV1-69*13|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ4*02|Homo	242
153	X62106|IGHV1-2*02|Homo	X97051|IGHD1-26*01|Homo	X86355|IGHJ5*02|Homo	242
154	Z14214|IGHV1-69*13|Homo	X97051|IGHD2-2*02|Homo	X86355|IGHJ5*02|Homo	241
155	M99641|IGHV1-18*01|Homo	NA	J00256|IGHJ3*01|Homo	239
156	Z14300|IGHV1-69*10|Homo	X13972|IGHD3-9*01|Homo	AJ879487|IGHJ6*04|Homo	233
157	M99641|IGHV1-18*01|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ4*02|Homo	229
158	M99641|IGHV1-18*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ5*02|Homo	228
159	KC713948|IGHV1-69*14|Homo	NA	X86355|IGHJ6*02|Homo	225
160	X62106|IGHV1-2*02|Homo	M35648|IGHD2-2*03|Homo	X86355|IGHJ5*02|Homo	224
161	Z14300|IGHV1-69*10|Homo	X13972|IGHD3-9*01|Homo	X86356|IGHJ6*03|Homo	223
162	M99642|IGHV1-24*01|Homo	NA	X86356|IGHJ6*03|Homo	217
163	X62106|IGHV1-2*02|Homo	X97051|IGHD6-19*01|Homo	X86355|IGHJ5*02|Homo	215
164	M99641|IGHV1-18*01|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ5*02|Homo	214
165	HM855457|IGHV1-8*02|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ5*02|Homo	212
166	X62106|IGHV1-2*02|Homo	J00234|IGHD2-15*01|Homo	X86356|IGHJ6*03|Homo	201
167	M99641|IGHV1-18*01|Homo	X97051|IGHD3-16*02|Homo	X86355|IGHJ4*02|Homo	198
168	KC713934|IGHV1-69D*01|Homo	NA	AJ879487|IGHJ6*04|Homo	197
169	HM855457|IGHV1-8*02|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ4*02|Homo	190
170	J00240|IGHV1-46*02|Homo	NA	X86355|IGHJ4*02|Homo	190
171	KC713948|IGHV1-69*14|Homo	NA	X86355|IGHJ3*02|Homo	189
172	Z14214|IGHV1-69*13|Homo	X97051|IGHD5-24*01|Homo	X86355|IGHJ4*02|Homo	182
173	HM855457|IGHV1-8*02|Homo	X97051|IGHD6-19*01|Homo	X86355|IGHJ5*02|Homo	182
174	HM855457|IGHV1-8*02|Homo	NA	J00256|IGHJ1*01|Homo	179
175	M99642|IGHV1-24*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	179
176	X62106|IGHV1-2*02|Homo	NA	AJ879487|IGHJ6*04|Homo	178
177	Z14214|IGHV1-69*13|Homo	NA	J00256|IGHJ2*01|Homo	177
178	X62106|IGHV1-2*02|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ3*02|Homo	176
179	KC713934|IGHV1-69D*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ5*02|Homo	175
180	KF698733|IGHV1-2*04|Homo	NA	X86355|IGHJ5*02|Homo	175
181	HM855457|IGHV1-8*02|Homo	X13972|IGHD5-12*01|Homo	X86355|IGHJ4*02|Homo	175
182	Z14214|IGHV1-69*13|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	173
183	X92343|IGHV1-46*01|Homo	X97051|IGHD3-16*02|Homo	X86355|IGHJ4*02|Homo	172
184	KC713934|IGHV1-69D*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ3*02|Homo	171
185	KF698733|IGHV1-2*04|Homo	NA	X86356|IGHJ6*03|Homo	169
186	X62106|IGHV1-2*02|Homo	NA	J00256|IGHJ4*01|Homo	165
187	J00240|IGHV1-46*02|Homo	NA	X86355|IGHJ3*02|Homo	165
188	AB019438|IGHV1-58*02|Homo	NA	X86356|IGHJ6*03|Homo	164
189	X62106|IGHV1-2*02|Homo	NA	M25625|IGHJ4*03|Homo	162
190	M99641|IGHV1-18*01|Homo	M35648|IGHD2-2*03|Homo	X86355|IGHJ4*02|Homo	162
191	HM855457|IGHV1-8*02|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ3*02|Homo	161
192	M99641|IGHV1-18*01|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ3*02|Homo	160
193	X92343|IGHV1-46*01|Homo	X13972|IGHD3-10*01|Homo	AJ879487|IGHJ6*04|Homo	157
194	KF698734|IGHV1-69-2*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	156
195	J00240|IGHV1-46*02|Homo	NA	X86355|IGHJ5*02|Homo	153
196	Z14296|IGHV1-69*11|Homo	X13972|IGHD3-9*01|Homo	AJ879487|IGHJ6*04|Homo	153
197	KC713948|IGHV1-69*14|Homo	NA	J00256|IGHJ1*01|Homo	153
198	X92343|IGHV1-46*01|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ5*02|Homo	151
199	KC713934|IGHV1-69D*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	150
200	X92343|IGHV1-46*01|Homo	NA	J00256|IGHJ1*01|Homo	148
201	M99642|IGHV1-24*01|Homo	NA	M25625|IGHJ4*03|Homo	146
202	X62106|IGHV1-2*02|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ6*02|Homo	146
203	Z14214|IGHV1-69*13|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ3*02|Homo	146
204	M99641|IGHV1-18*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ5*02|Homo	145
205	X62106|IGHV1-2*02|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ3*02|Homo	141
206	HM855457|IGHV1-8*02|Homo	X97051|IGHD6-19*01|Homo	X86355|IGHJ4*02|Homo	139
207	KC713938|IGHV1-18*04|Homo	NA	J00256|IGHJ2*01|Homo	138
208	X92343|IGHV1-46*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	137
209	M99641|IGHV1-18*01|Homo	M35648|IGHD2-2*03|Homo	X86355|IGHJ3*02|Homo	133
