	V	D	J	N152	IAVI84
57	IGHV1-18*01	IGHD3-10*02	IGHJ4*02	NA	8.0
58	IGHV1-18*01	IGHD3-10*02	IGHJ5*02	NA	2.0
59	IGHV1-18*01	IGHD3-10*02	IGHJ6*02	NA	9.0
60	IGHV1-18*01	IGHD3-10*02	IGHJ6*03	NA	1.0
61	IGHV1-18*01	IGHD3-16*01	IGHJ4*02	NA	47.0
62	IGHV1-18*01	IGHD3-16*01	IGHJ4*03	NA	10.0
63	IGHV1-18*01	IGHD3-16*01	IGHJ5*02	NA	3.0
64	IGHV1-18*01	IGHD3-16*02	IGHJ2*01	NA	1.0
65	IGHV1-18*01	IGHD3-16*02	IGHJ3*02	NA	28.0
66	IGHV1-18*01	IGHD3-16*02	IGHJ4*01	NA	1.0
67	IGHV1-18*01	IGHD3-16*02	IGHJ4*02	NA	192.0
68	IGHV1-18*01	IGHD3-16*02	IGHJ5*02	NA	89.0
69	IGHV1-18*01	IGHD3-16*02	IGHJ6*02	NA	11.0
70	IGHV1-18*01	IGHD3-16*02	IGHJ6*03	NA	330.0
71	IGHV1-18*01	IGHD3-16*02	IGHJ6*04	NA	2.0
72	IGHV1-18*01	IGHD3-22*01	IGHJ1*01	NA	256.0
73	IGHV1-18*01	IGHD3-22*01	IGHJ2*01	NA	71.0
74	IGHV1-18*01	IGHD3-22*01	IGHJ3*01	NA	4.0
75	IGHV1-18*01	IGHD3-22*01	IGHJ3*02	NA	789.0
76	IGHV1-18*01	IGHD3-22*01	IGHJ4*02	NA	1580.0
77	IGHV1-18*01	IGHD3-22*01	IGHJ4*03	NA	4.0
78	IGHV1-18*01	IGHD3-22*01	IGHJ5*01	NA	1.0
79	IGHV1-18*01	IGHD3-22*01	IGHJ5*02	NA	111.0
80	IGHV1-18*01	IGHD3-22*01	IGHJ6*02	NA	265.0
81	IGHV1-18*01	IGHD3-22*01	IGHJ6*03	NA	22.0
82	IGHV1-18*01	IGHD3-22*01	IGHJ6*04	NA	1.0
83	IGHV1-18*01	IGHD3-9*01	IGHJ1*01	NA	2.0
84	IGHV1-18*01	IGHD3-9*01	IGHJ3*02	NA	159.0
85	IGHV1-18*01	IGHD3-9*01	IGHJ4*01	NA	1.0
86	IGHV1-18*01	IGHD3-9*01	IGHJ4*02	NA	361.0
87	IGHV1-18*01	IGHD3-9*01	IGHJ4*03	NA	5.0
88	IGHV1-18*01	IGHD3-9*01	IGHJ5*02	NA	100.0
89	IGHV1-18*01	IGHD3-9*01	IGHJ6*02	NA	42.0
90	IGHV1-18*01	IGHD3-9*01	IGHJ6*03	NA	308.0
91	IGHV1-18*01	IGHD3/OR15-3b*01	IGHJ3*02	NA	4.0
92	IGHV1-18*01	IGHD3/OR15-3b*01	IGHJ4*02	NA	30.0
93	IGHV1-18*01	IGHD4-17*01	IGHJ2*01	NA	1.0
94	IGHV1-18*01	IGHD4-17*01	IGHJ3*02	NA	2.0
95	IGHV1-18*01	IGHD4-17*01	IGHJ4*01	NA	1.0
96	IGHV1-18*01	IGHD4-17*01	IGHJ4*02	NA	59.0
97	IGHV1-18*01	IGHD4-17*01	IGHJ4*03	NA	2.0
98	IGHV1-18*01	IGHD4-17*01	IGHJ5*02	NA	20.0
99	IGHV1-18*01	IGHD4-17*01	IGHJ6*02	NA	6.0
100	IGHV1-18*01	IGHD4-23*01	IGHJ2*01	NA	1.0
101	IGHV1-18*01	IGHD4-23*01	IGHJ3*02	NA	5.0
102	IGHV1-18*01	IGHD4-23*01	IGHJ4*02	NA	39.0
103	IGHV1-18*01	IGHD4-23*01	IGHJ6*03	NA	3.0
104	IGHV1-18*01	IGHD5-12*01	IGHJ3*02	NA	35.0
105	IGHV1-18*01	IGHD5-12*01	IGHJ4*02	NA	65.0
106	IGHV1-18*01	IGHD5-12*01	IGHJ5*02	NA	47.0
107	IGHV1-18*01	IGHD5-12*01	IGHJ6*02	NA	3.0
108	IGHV1-18*01	IGHD5-12*01	IGHJ6*03	NA	4.0
109	IGHV1-18*01	IGHD5-24*01	IGHJ1*01	NA	1.0
110	IGHV1-18*01	IGHD5-24*01	IGHJ2*01	NA	1.0
111	IGHV1-18*01	IGHD5-24*01	IGHJ3*02	NA	38.0
112	IGHV1-18*01	IGHD5-24*01	IGHJ4*02	NA	8.0
113	IGHV1-18*01	IGHD5-24*01	IGHJ6*02	NA	6.0
114	IGHV1-18*01	IGHD5-24*01	IGHJ6*03	NA	1.0
115	IGHV1-18*01	IGHD5-5*01	IGHJ3*02	NA	11.0
116	IGHV1-18*01	IGHD5-5*01	IGHJ4*02	NA	56.0
117	IGHV1-18*01	IGHD5-5*01	IGHJ5*02	NA	5.0
118	IGHV1-18*01	IGHD5-5*01	IGHJ6*02	NA	2.0
119	IGHV1-18*01	IGHD5-5*01	IGHJ6*03	NA	14.0
120	IGHV1-18*01	IGHD5/OR15-5b*01	IGHJ3*02	NA	1.0
121	IGHV1-18*01	IGHD5/OR15-5b*01	IGHJ4*02	NA	6.0
122	IGHV1-18*01	IGHD6-13*01	IGHJ1*01	NA	4.0
123	IGHV1-18*01	IGHD6-13*01	IGHJ2*01	NA	5.0
124	IGHV1-18*01	IGHD6-13*01	IGHJ3*02	NA	306.0
125	IGHV1-18*01	IGHD6-13*01	IGHJ4*02	NA	427.0
126	IGHV1-18*01	IGHD6-13*01	IGHJ4*03	NA	1.0
127	IGHV1-18*01	IGHD6-13*01	IGHJ5*02	NA	39.0
128	IGHV1-18*01	IGHD6-13*01	IGHJ6*02	NA	6.0
129	IGHV1-18*01	IGHD6-13*01	IGHJ6*03	NA	24.0
130	IGHV1-18*01	IGHD6-19*01	IGHJ1*01	NA	1.0
131	IGHV1-18*01	IGHD6-19*01	IGHJ2*01	NA	1.0
132	IGHV1-18*01	IGHD6-19*01	IGHJ3*02	NA	374.0
133	IGHV1-18*01	IGHD6-19*01	IGHJ4*02	NA	573.0
134	IGHV1-18*01	IGHD6-19*01	IGHJ4*03	NA	3.0
135	IGHV1-18*01	IGHD6-19*01	IGHJ5*02	NA	13.0
136	IGHV1-18*01	IGHD6-19*01	IGHJ6*02	NA	13.0
137	IGHV1-18*01	IGHD6-19*01	IGHJ6*03	NA	374.0
138	IGHV1-18*01	IGHD6-19*01	IGHJ6*04	NA	2.0
139	IGHV1-18*01	NA	IGHJ1*01	NA	408.0
140	IGHV1-18*01	NA	IGHJ2*01	NA	547.0
141	IGHV1-18*01	NA	IGHJ3*01	NA	241.0
142	IGHV1-18*01	NA	IGHJ3*02	NA	3673.0
143	IGHV1-18*01	NA	IGHJ4*01	NA	31.0
144	IGHV1-18*01	NA	IGHJ4*02	NA	11029.0
145	IGHV1-18*01	NA	IGHJ4*03	NA	60.0
146	IGHV1-18*01	NA	IGHJ5*01	NA	31.0
147	IGHV1-18*01	NA	IGHJ5*02	NA	3852.0
148	IGHV1-18*01	NA	IGHJ6*01	NA	52.0
149	IGHV1-18*01	NA	IGHJ6*02	NA	2210.0
150	IGHV1-18*01	NA	IGHJ6*03	NA	3288.0
151	IGHV1-18*01	NA	IGHJ6*04	NA	857.0
152	IGHV1-18*02	NA	IGHJ4*02	NA	1.0
153	IGHV1-18*03	IGHD2-15*01	IGHJ3*02	NA	2.0
154	IGHV1-18*03	IGHD2-15*01	IGHJ5*02	NA	1.0
155	IGHV1-18*03	IGHD2-2*03	IGHJ3*02	NA	1.0
156	IGHV1-18*03	IGHD2-2*03	IGHJ4*01	NA	1.0
157	IGHV1-18*03	IGHD2-2*03	IGHJ4*02	NA	2.0
158	IGHV1-18*03	IGHD2-21*02	IGHJ3*02	NA	1.0
159	IGHV1-18*03	IGHD2-21*02	IGHJ4*02	NA	1.0
160	IGHV1-18*03	IGHD2-21*02	IGHJ6*02	NA	1.0
161	IGHV1-18*03	IGHD2-8*02	IGHJ3*02	NA	1.0
162	IGHV1-18*03	IGHD3-10*01	IGHJ2*01	NA	1.0
163	IGHV1-18*03	IGHD3-10*01	IGHJ3*02	NA	1.0
164	IGHV1-18*03	IGHD3-10*01	IGHJ4*02	NA	14.0
165	IGHV1-18*03	IGHD3-10*01	IGHJ5*02	NA	2.0
166	IGHV1-18*03	IGHD3-10*01	IGHJ6*02	NA	2.0
167	IGHV1-18*03	IGHD3-10*01	IGHJ6*03	NA	1.0
168	IGHV1-18*03	IGHD3-16*01	IGHJ4*03	NA	1.0
169	IGHV1-18*03	IGHD3-16*02	IGHJ5*02	NA	1.0
170	IGHV1-18*03	IGHD3-16*02	IGHJ6*03	NA	1.0
171	IGHV1-18*03	IGHD3-22*01	IGHJ1*01	NA	1.0
172	IGHV1-18*03	IGHD3-22*01	IGHJ2*01	NA	1.0
173	IGHV1-18*03	IGHD3-22*01	IGHJ3*02	NA	3.0
174	IGHV1-18*03	IGHD3-22*01	IGHJ4*02	NA	6.0
175	IGHV1-18*03	IGHD3-22*01	IGHJ6*02	NA	1.0
176	IGHV1-18*03	IGHD4-23*01	IGHJ4*02	NA	3.0
177	IGHV1-18*03	IGHD6-13*01	IGHJ4*02	NA	1.0
178	IGHV1-18*03	IGHD6-13*01	IGHJ5*02	NA	1.0
179	IGHV1-18*03	IGHD6-13*01	IGHJ6*03	NA	1.0
180	IGHV1-18*03	IGHD6-19*01	IGHJ3*02	NA	2.0
181	IGHV1-18*03	IGHD6-19*01	IGHJ4*02	NA	1.0
182	IGHV1-18*03	IGHD6-19*01	IGHJ6*03	NA	2.0
183	IGHV1-18*03	NA	IGHJ1*01	NA	3.0
184	IGHV1-18*03	NA	IGHJ2*01	NA	6.0
185	IGHV1-18*03	NA	IGHJ3*01	NA	2.0
186	IGHV1-18*03	NA	IGHJ3*02	NA	124.0
187	IGHV1-18*03	NA	IGHJ4*02	NA	94.0
188	IGHV1-18*03	NA	IGHJ5*02	NA	28.0
189	IGHV1-18*03	NA	IGHJ6*02	NA	21.0
190	IGHV1-18*03	NA	IGHJ6*03	NA	14.0
191	IGHV1-18*03	NA	IGHJ6*04	NA	6.0
192	IGHV1-18*04	IGHD1-26*01	IGHJ3*02	NA	5.0
193	IGHV1-18*04	IGHD1-26*01	IGHJ4*02	NA	3.0
194	IGHV1-18*04	IGHD2-15*01	IGHJ1*01	NA	1.0
195	IGHV1-18*04	IGHD2-15*01	IGHJ2*01	NA	4.0
196	IGHV1-18*04	IGHD2-15*01	IGHJ3*02	NA	5.0
197	IGHV1-18*04	IGHD2-15*01	IGHJ4*02	NA	18.0
198	IGHV1-18*04	IGHD2-15*01	IGHJ4*03	NA	1.0
199	IGHV1-18*04	IGHD2-15*01	IGHJ5*02	NA	6.0
200	IGHV1-18*04	IGHD2-15*01	IGHJ6*03	NA	4.0
201	IGHV1-18*04	IGHD2-2*03	IGHJ4*02	NA	3.0
202	IGHV1-18*04	IGHD2-2*03	IGHJ5*02	NA	1.0
203	IGHV1-18*04	IGHD2-21*02	IGHJ3*02	NA	1.0
204	IGHV1-18*04	IGHD2-21*02	IGHJ4*02	NA	3.0
205	IGHV1-18*04	IGHD2-21*02	IGHJ6*02	NA	2.0
206	IGHV1-18*04	IGHD2-8*02	IGHJ3*02	NA	7.0
207	IGHV1-18*04	IGHD3-10*01	IGHJ1*01	NA	3.0
208	IGHV1-18*04	IGHD3-10*01	IGHJ2*01	NA	3.0
209	IGHV1-18*04	IGHD3-10*01	IGHJ3*01	NA	1.0
210	IGHV1-18*04	IGHD3-10*01	IGHJ3*02	NA	11.0
211	IGHV1-18*04	IGHD3-10*01	IGHJ4*02	NA	120.0
212	IGHV1-18*04	IGHD3-10*01	IGHJ5*02	NA	23.0
213	IGHV1-18*04	IGHD3-10*01	IGHJ6*02	NA	4.0
214	IGHV1-18*04	IGHD3-10*01	IGHJ6*03	NA	6.0
215	IGHV1-18*04	IGHD3-16*01	IGHJ4*02	NA	5.0
216	IGHV1-18*04	IGHD3-16*01	IGHJ4*03	NA	1.0
217	IGHV1-18*04	IGHD3-16*02	IGHJ3*02	NA	13.0
218	IGHV1-18*04	IGHD3-16*02	IGHJ4*02	NA	4.0
219	IGHV1-18*04	IGHD3-16*02	IGHJ5*02	NA	1.0
220	IGHV1-18*04	IGHD3-16*02	IGHJ6*03	NA	14.0
221	IGHV1-18*04	IGHD3-22*01	IGHJ1*01	NA	4.0
222	IGHV1-18*04	IGHD3-22*01	IGHJ2*01	NA	4.0
223	IGHV1-18*04	IGHD3-22*01	IGHJ3*02	NA	121.0
224	IGHV1-18*04	IGHD3-22*01	IGHJ4*02	NA	44.0
225	IGHV1-18*04	IGHD3-22*01	IGHJ5*02	NA	3.0
226	IGHV1-18*04	IGHD3-22*01	IGHJ6*02	NA	7.0
227	IGHV1-18*04	IGHD3-22*01	IGHJ6*03	NA	3.0
228	IGHV1-18*04	IGHD3-9*01	IGHJ3*02	NA	27.0
229	IGHV1-18*04	IGHD3-9*01	IGHJ4*02	NA	30.0
230	IGHV1-18*04	IGHD3-9*01	IGHJ5*02	NA	3.0
231	IGHV1-18*04	IGHD3-9*01	IGHJ6*02	NA	1.0
232	IGHV1-18*04	IGHD3-9*01	IGHJ6*03	NA	15.0
233	IGHV1-18*04	IGHD3/OR15-3b*01	IGHJ4*02	NA	2.0
234	IGHV1-18*04	IGHD4-17*01	IGHJ4*02	NA	2.0
235	IGHV1-18*04	IGHD4-17*01	IGHJ5*02	NA	1.0
236	IGHV1-18*04	IGHD4-23*01	IGHJ4*02	NA	3.0
237	IGHV1-18*04	IGHD5-12*01	IGHJ3*02	NA	2.0
238	IGHV1-18*04	IGHD5-12*01	IGHJ4*02	NA	3.0
239	IGHV1-18*04	IGHD5-12*01	IGHJ5*02	NA	4.0
240	IGHV1-18*04	IGHD5-12*01	IGHJ6*03	NA	1.0
241	IGHV1-18*04	IGHD5-24*01	IGHJ3*02	NA	3.0
242	IGHV1-18*04	IGHD5-5*01	IGHJ4*02	NA	1.0
243	IGHV1-18*04	IGHD5/OR15-5b*01	IGHJ5*02	NA	1.0
244	IGHV1-18*04	IGHD6-13*01	IGHJ3*02	NA	12.0
245	IGHV1-18*04	IGHD6-13*01	IGHJ4*02	NA	20.0
246	IGHV1-18*04	IGHD6-13*01	IGHJ5*02	NA	1.0
247	IGHV1-18*04	IGHD6-19*01	IGHJ3*02	NA	18.0
248	IGHV1-18*04	IGHD6-19*01	IGHJ4*02	NA	26.0
249	IGHV1-18*04	IGHD6-19*01	IGHJ6*03	NA	17.0
250	IGHV1-18*04	NA	IGHJ1*01	NA	12.0
251	IGHV1-18*04	NA	IGHJ2*01	NA	137.0
252	IGHV1-18*04	NA	IGHJ3*01	NA	5.0
253	IGHV1-18*04	NA	IGHJ3*02	NA	260.0
254	IGHV1-18*04	NA	IGHJ4*02	NA	463.0
255	IGHV1-18*04	NA	IGHJ4*03	NA	2.0
256	IGHV1-18*04	NA	IGHJ5*02	NA	180.0
257	IGHV1-18*04	NA	IGHJ6*02	NA	55.0
258	IGHV1-18*04	NA	IGHJ6*03	NA	77.0
259	IGHV1-18*04	NA	IGHJ6*04	NA	38.0
260	IGHV1-2*01	IGHD3-10*01	IGHJ3*02	NA	1.0
261	IGHV1-2*02	IGHD1-1*01	IGHJ3*02	NA	12.0
262	IGHV1-2*02	IGHD1-1*01	IGHJ4*02	NA	5.0
263	IGHV1-2*02	IGHD1-1*01	IGHJ5*02	NA	1.0
264	IGHV1-2*02	IGHD1-1*01	IGHJ6*02	NA	1.0
265	IGHV1-2*02	IGHD1-26*01	IGHJ1*01	NA	1.0
266	IGHV1-2*02	IGHD1-26*01	IGHJ2*01	NA	1.0
267	IGHV1-2*02	IGHD1-26*01	IGHJ3*02	NA	28.0
268	IGHV1-2*02	IGHD1-26*01	IGHJ4*02	NA	265.0
269	IGHV1-2*02	IGHD1-26*01	IGHJ5*01	NA	1.0
270	IGHV1-2*02	IGHD1-26*01	IGHJ5*02	NA	247.0
271	IGHV1-2*02	IGHD2-15*01	IGHJ1*01	NA	24.0
272	IGHV1-2*02	IGHD2-15*01	IGHJ2*01	NA	9.0
273	IGHV1-2*02	IGHD2-15*01	IGHJ3*01	NA	8.0
274	IGHV1-2*02	IGHD2-15*01	IGHJ3*02	NA	140.0
275	IGHV1-2*02	IGHD2-15*01	IGHJ4*02	NA	498.0
276	IGHV1-2*02	IGHD2-15*01	IGHJ4*03	NA	3.0
277	IGHV1-2*02	IGHD2-15*01	IGHJ5*02	NA	265.0
278	IGHV1-2*02	IGHD2-15*01	IGHJ6*02	NA	49.0
279	IGHV1-2*02	IGHD2-15*01	IGHJ6*03	NA	150.0
280	IGHV1-2*02	IGHD2-15*01	IGHJ6*04	NA	2.0
281	IGHV1-2*02	IGHD2-2*02	IGHJ3*02	NA	1.0
282	IGHV1-2*02	IGHD2-2*02	IGHJ4*02	NA	12.0
283	IGHV1-2*02	IGHD2-2*02	IGHJ4*03	NA	1.0
284	IGHV1-2*02	IGHD2-2*02	IGHJ5*02	NA	50.0
285	IGHV1-2*02	IGHD2-2*02	IGHJ6*03	NA	12.0
286	IGHV1-2*02	IGHD2-2*02	IGHJ6*04	NA	8.0
287	IGHV1-2*02	IGHD2-2*03	IGHJ1*01	NA	9.0
288	IGHV1-2*02	IGHD2-2*03	IGHJ2*01	NA	5.0
289	IGHV1-2*02	IGHD2-2*03	IGHJ3*02	NA	117.0
290	IGHV1-2*02	IGHD2-2*03	IGHJ4*01	NA	4.0
291	IGHV1-2*02	IGHD2-2*03	IGHJ4*02	NA	104.0
292	IGHV1-2*02	IGHD2-2*03	IGHJ4*03	NA	1.0
293	IGHV1-2*02	IGHD2-2*03	IGHJ5*01	NA	1.0
294	IGHV1-2*02	IGHD2-2*03	IGHJ5*02	NA	224.0
295	IGHV1-2*02	IGHD2-2*03	IGHJ6*02	NA	110.0
296	IGHV1-2*02	IGHD2-2*03	IGHJ6*03	NA	17.0
297	IGHV1-2*02	IGHD2-2*03	IGHJ6*04	NA	1.0
298	IGHV1-2*02	IGHD2-21*01	IGHJ4*02	NA	1.0
299	IGHV1-2*02	IGHD2-21*02	IGHJ1*01	NA	271.0
300	IGHV1-2*02	IGHD2-21*02	IGHJ3*01	NA	1.0
301	IGHV1-2*02	IGHD2-21*02	IGHJ3*02	NA	76.0
302	IGHV1-2*02	IGHD2-21*02	IGHJ4*02	NA	398.0
303	IGHV1-2*02	IGHD2-21*02	IGHJ5*02	NA	94.0
304	IGHV1-2*02	IGHD2-21*02	IGHJ6*02	NA	31.0
305	IGHV1-2*02	IGHD2-21*02	IGHJ6*04	NA	1.0
306	IGHV1-2*02	IGHD2-8*02	IGHJ3*02	NA	5.0
307	IGHV1-2*02	IGHD2-8*02	IGHJ6*03	NA	10.0
308	IGHV1-2*02	IGHD2/OR15-2b*01	IGHJ4*02	NA	1.0
309	IGHV1-2*02	IGHD3-10*01	IGHJ1*01	NA	49.0
310	IGHV1-2*02	IGHD3-10*01	IGHJ2*01	NA	645.0
311	IGHV1-2*02	IGHD3-10*01	IGHJ3*02	NA	941.0
312	IGHV1-2*02	IGHD3-10*01	IGHJ4*01	NA	3.0
313	IGHV1-2*02	IGHD3-10*01	IGHJ4*02	NA	2287.0
314	IGHV1-2*02	IGHD3-10*01	IGHJ4*03	NA	13.0
315	IGHV1-2*02	IGHD3-10*01	IGHJ5*01	NA	1.0
316	IGHV1-2*02	IGHD3-10*01	IGHJ5*02	NA	739.0
317	IGHV1-2*02	IGHD3-10*01	IGHJ6*02	NA	128.0
318	IGHV1-2*02	IGHD3-10*01	IGHJ6*03	NA	251.0
319	IGHV1-2*02	IGHD3-10*01	IGHJ6*04	NA	30.0
320	IGHV1-2*02	IGHD3-10*02	IGHJ3*02	NA	6.0
321	IGHV1-2*02	IGHD3-10*02	IGHJ4*02	NA	62.0
322	IGHV1-2*02	IGHD3-10*02	IGHJ4*03	NA	2.0
323	IGHV1-2*02	IGHD3-10*02	IGHJ5*02	NA	14.0
324	IGHV1-2*02	IGHD3-10*02	IGHJ6*02	NA	25.0
325	IGHV1-2*02	IGHD3-10*02	IGHJ6*03	NA	18.0
326	IGHV1-2*02	IGHD3-16*01	IGHJ1*01	NA	1.0
327	IGHV1-2*02	IGHD3-16*01	IGHJ4*02	NA	10.0
328	IGHV1-2*02	IGHD3-16*02	IGHJ3*01	NA	23.0
329	IGHV1-2*02	IGHD3-16*02	IGHJ3*02	NA	57.0
330	IGHV1-2*02	IGHD3-16*02	IGHJ4*02	NA	262.0
331	IGHV1-2*02	IGHD3-16*02	IGHJ4*03	NA	1.0
332	IGHV1-2*02	IGHD3-16*02	IGHJ5*01	NA	1.0
333	IGHV1-2*02	IGHD3-16*02	IGHJ5*02	NA	19.0
334	IGHV1-2*02	IGHD3-16*02	IGHJ6*02	NA	8.0
335	IGHV1-2*02	IGHD3-16*02	IGHJ6*03	NA	12.0
336	IGHV1-2*02	IGHD3-22*01	IGHJ1*01	NA	101.0
337	IGHV1-2*02	IGHD3-22*01	IGHJ2*01	NA	379.0
338	IGHV1-2*02	IGHD3-22*01	IGHJ3*01	NA	19.0
339	IGHV1-2*02	IGHD3-22*01	IGHJ3*02	NA	684.0
340	IGHV1-2*02	IGHD3-22*01	IGHJ4*01	NA	1.0
341	IGHV1-2*02	IGHD3-22*01	IGHJ4*02	NA	2234.0
342	IGHV1-2*02	IGHD3-22*01	IGHJ4*03	NA	9.0
343	IGHV1-2*02	IGHD3-22*01	IGHJ5*02	NA	623.0
344	IGHV1-2*02	IGHD3-22*01	IGHJ6*01	NA	1.0
345	IGHV1-2*02	IGHD3-22*01	IGHJ6*02	NA	196.0
346	IGHV1-2*02	IGHD3-22*01	IGHJ6*03	NA	219.0
347	IGHV1-2*02	IGHD3-22*01	IGHJ6*04	NA	1.0
348	IGHV1-2*02	IGHD3-3*02	IGHJ4*02	NA	1.0
349	IGHV1-2*02	IGHD3-9*01	IGHJ1*01	NA	66.0
350	IGHV1-2*02	IGHD3-9*01	IGHJ2*01	NA	15.0
351	IGHV1-2*02	IGHD3-9*01	IGHJ3*02	NA	318.0
352	IGHV1-2*02	IGHD3-9*01	IGHJ4*01	NA	5.0
353	IGHV1-2*02	IGHD3-9*01	IGHJ4*02	NA	843.0
354	IGHV1-2*02	IGHD3-9*01	IGHJ4*03	NA	80.0
355	IGHV1-2*02	IGHD3-9*01	IGHJ5*01	NA	2.0
356	IGHV1-2*02	IGHD3-9*01	IGHJ5*02	NA	598.0
357	IGHV1-2*02	IGHD3-9*01	IGHJ6*01	NA	1.0
358	IGHV1-2*02	IGHD3-9*01	IGHJ6*02	NA	40.0
359	IGHV1-2*02	IGHD3-9*01	IGHJ6*03	NA	250.0
360	IGHV1-2*02	IGHD3-9*01	IGHJ6*04	NA	8.0
361	IGHV1-2*02	IGHD3/OR15-3b*01	IGHJ4*02	NA	2.0
362	IGHV1-2*02	IGHD3/OR15-3b*01	IGHJ6*03	NA	3.0
363	IGHV1-2*02	IGHD4-17*01	IGHJ3*01	NA	1.0
364	IGHV1-2*02	IGHD4-17*01	IGHJ3*02	NA	24.0
365	IGHV1-2*02	IGHD4-17*01	IGHJ4*02	NA	32.0
366	IGHV1-2*02	IGHD4-17*01	IGHJ5*02	NA	28.0
367	IGHV1-2*02	IGHD4-17*01	IGHJ6*01	NA	1.0
368	IGHV1-2*02	IGHD4-17*01	IGHJ6*02	NA	476.0
369	IGHV1-2*02	IGHD4-17*01	IGHJ6*04	NA	2.0
370	IGHV1-2*02	IGHD4-23*01	IGHJ3*02	NA	1.0
371	IGHV1-2*02	IGHD4-23*01	IGHJ4*02	NA	2.0
