	v	d	j	frequency
38	AC245166|IGHV3-23D*02|Homo	NA	M25625|IGHJ4*03|Homo	28
39	KC713935|IGHV2-70D*04|Homo	NA	X86355|IGHJ5*02|Homo	28
40	AC245243|IGHV3-30-5*02|Homo	NA	J00256|IGHJ5*01|Homo	28
41	L21972|IGHV2-5*09|Homo	NA	X86356|IGHJ6*03|Homo	28
42	AC244456|IGHV3-30-5*01|Homo	NA	J00256|IGHJ2*01|Homo	28
43	AC244456|IGHV3-30-5*01|Homo	NA	X86356|IGHJ6*03|Homo	28
44	AC244492|IGHV3-23D*01|Homo	NA	J00256|IGHJ5*01|Homo	28
45	KC713948|IGHV1-69*14|Homo	NA	J00256|IGHJ3*01|Homo	28
46	AC244492|IGHV3-23D*01|Homo	NA	X86355|IGHJ6*02|Homo	28
47	AC244456|IGHV3-30-5*01|Homo	NA	J00256|IGHJ4*01|Homo	27
48	AC245166|IGHV3-23D*02|Homo	NA	J00256|IGHJ5*01|Homo	27
49	AC245243|IGHV3-30-5*02|Homo	NA	J00256|IGHJ6*01|Homo	27
50	M99684|IGHV4-34*02|Homo	NA	X86355|IGHJ5*02|Homo	27
51	KC713948|IGHV1-69*14|Homo	NA	X86355|IGHJ6*02|Homo	27
52	KC713935|IGHV2-70D*04|Homo	NA	AJ879487|IGHJ6*04|Homo	27
53	AC245166|IGHV3-23D*02|Homo	NA	X86355|IGHJ5*02|Homo	27
54	KC713936|IGHV4-28*07|Homo	NA	M25625|IGHJ4*03|Homo	27
55	X70208|IGHV3-66*04|Homo	NA	J00256|IGHJ1*01|Homo	27
56	AC245166|IGHV3-23D*02|Homo	NA	J00256|IGHJ1*01|Homo	27
57	L21972|IGHV2-5*09|Homo	NA	X86355|IGHJ4*02|Homo	27
58	AC244456|IGHV3-30-5*01|Homo	NA	X86355|IGHJ4*02|Homo	27
59	AC245166|IGHV3-23D*02|Homo	NA	J00256|IGHJ6*01|Homo	27
60	L21972|IGHV2-5*09|Homo	NA	M25625|IGHJ4*03|Homo	26
61	X05716|IGHV4-34*11|Homo	NA	X86356|IGHJ6*03|Homo	26
62	KC713935|IGHV2-70D*04|Homo	NA	M25625|IGHJ4*03|Homo	26
63	AC244492|IGHV3-23D*01|Homo	NA	X86355|IGHJ3*02|Homo	26
64	KC713935|IGHV2-70D*04|Homo	NA	J00256|IGHJ5*01|Homo	26
65	KC713935|IGHV2-70D*04|Homo	NA	X86356|IGHJ6*03|Homo	26
66	KC713935|IGHV2-70D*04|Homo	NA	J00256|IGHJ2*01|Homo	26
67	L21972|IGHV2-5*09|Homo	NA	X86355|IGHJ5*02|Homo	25
68	AC244456|IGHV3-30-5*01|Homo	NA	J00256|IGHJ6*01|Homo	25
69	AC245243|IGHV3-30-5*02|Homo	NA	X86355|IGHJ5*02|Homo	25
70	Z14307|IGHV1-69*09|Homo	NA	M25625|IGHJ4*03|Homo	25
71	Z14307|IGHV1-69*09|Homo	NA	X86356|IGHJ6*03|Homo	25
72	KC713948|IGHV1-69*14|Homo	NA	J00256|IGHJ1*01|Homo	25
73	M77334|IGHV3-33*05|Homo	NA	X86355|IGHJ6*02|Homo	25
74	AC245166|IGHV3-23D*02|Homo	NA	X86355|IGHJ6*02|Homo	25
75	L21972|IGHV2-5*09|Homo	NA	X86355|IGHJ6*02|Homo	25
76	AC245166|IGHV3-23D*02|Homo	NA	X86356|IGHJ6*03|Homo	25
77	Z27506|IGHV1-69*02|Homo	NA	M25625|IGHJ4*03|Homo	25
78	KC713948|IGHV1-69*14|Homo	NA	J00256|IGHJ6*01|Homo	24
79	X70197|IGHV3-73*01|Homo	NA	AJ879487|IGHJ6*04|Homo	24
80	Z14307|IGHV1-69*09|Homo	NA	J00256|IGHJ6*01|Homo	24
81	L21972|IGHV2-5*09|Homo	NA	X86355|IGHJ3*02|Homo	24
82	L21972|IGHV2-5*09|Homo	NA	AJ879487|IGHJ6*04|Homo	24
83	AC245243|IGHV3-30-5*02|Homo	NA	J00256|IGHJ3*01|Homo	24
84	M77299|IGHV3-64*04|Homo	NA	J00256|IGHJ1*01|Homo	24
