	d	j	v	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency
IGHV1-2*01__________NA__________IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
IGHV1-2*01__________NA__________IGHJ1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
IGHV1-2*01__________NA__________IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	1.0	NA	NA	NA	1.0	1.0	NA
IGHV1-2*01__________NA__________IGHJ2-2*01	NA	NA	NA	NA	NA	1.0	1.0	NA	1.0	1.0	NA	NA	1.0	NA	NA	NA	NA
IGHV1-2*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV1-2*01__________NA__________IGHJ2-4*01	NA	NA	NA	3.0	NA	1.0	1.0	1.0	NA	2.0	1.0	NA	NA	NA	NA	NA	NA
IGHV1-2*01__________NA__________IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	1.0	NA
IGHV1-3*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA
IGHV1-4*01__________NA__________IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
IGHV1-4*01__________NA__________IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
IGHV1-4*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV1-5*01__________IGHD2-4*01__________IGHJ2-1*01	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV1-5*01__________NA__________IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
IGHV1-5*01__________NA__________IGHJ2-1*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA
