	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
350	IGHV7-1*01	IGHD2-1*01	IGHJ2-2*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
351	IGHV7-1*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	2.0	NA	NA
352	IGHV7-1*01	IGHD2-2*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	2.0	NA
353	IGHV7-1*01	IGHD2-2*01	IGHJ2-5*01	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
354	IGHV7-1*01	IGHD2-3*01	IGHJ2-2*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
355	IGHV7-1*01	IGHD2-4*01	IGHJ2-1*01	3.0	NA	2.0	3.0	NA	NA	NA	NA	5.0	NA	2.0	3.0	NA	NA
356	IGHV7-1*01	IGHD2-4*01	IGHJ2-3*01	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
357	IGHV7-1*01	IGHD2-5*01	IGHJ2-1*01	9.0	3.0	4.0	NA	NA	1.0	NA	NA	10.0	4.0	7.0	9.0	17.0	5.0
358	IGHV7-1*01	IGHD2-5*01	IGHJ2-2*01	8.0	2.0	13.0	NA	NA	NA	NA	NA	5.0	1.0	2.0	4.0	8.0	1.0
359	IGHV7-1*01	IGHD2-5*01	IGHJ2-3*01	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	1.0	4.0	3.0
360	IGHV7-1*01	IGHD2-5*01	IGHJ2-4*01	16.0	4.0	NA	NA	3.0	NA	NA	NA	5.0	1.0	5.0	4.0	4.0	NA
361	IGHV7-1*01	IGHD2-5*01	IGHJ2-5*01	1.0	NA	NA	NA	1.0	NA	NA	NA	3.0	NA	5.0	1.0	1.0	1.0
362	IGHV7-1*01	NA	IGHJ2-1*01	700.0	235.0	107.0	266.0	143.0	327.0	301.0	128.0	335.0	83.0	347.0	335.0	394.0	3896.0
363	IGHV7-1*01	NA	IGHJ2-2*01	118.0	86.0	142.0	49.0	82.0	36.0	81.0	83.0	161.0	40.0	183.0	248.0	305.0	104.0
364	IGHV7-1*01	NA	IGHJ2-3*01	96.0	58.0	45.0	1.0	39.0	NA	NA	NA	37.0	41.0	37.0	129.0	118.0	16.0
365	IGHV7-1*01	NA	IGHJ2-4*01	294.0	317.0	274.0	153.0	163.0	46.0	208.0	113.0	188.0	111.0	167.0	985.0	1298.0	105.0
366	IGHV7-1*01	NA	IGHJ2-5*01	69.0	137.0	62.0	64.0	71.0	37.0	106.0	121.0	114.0	212.0	937.0	127.0	197.0	156.0
367	IGHV8-1*01	IGHD2-5*01	IGHJ2-1*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	4.0	3.0	NA	NA
368	IGHV8-1*01	IGHD2-5*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
369	IGHV8-1*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA
370	IGHV8-1*01	NA	IGHJ2-1*01	23.0	311.0	17.0	20.0	45.0	3.0	45.0	31.0	79.0	7.0	41.0	1375.0	30.0	4.0
371	IGHV8-1*01	NA	IGHJ2-2*01	37.0	66.0	17.0	31.0	30.0	NA	56.0	45.0	53.0	11.0	23.0	39.0	54.0	31.0
372	IGHV8-1*01	NA	IGHJ2-3*01	1.0	2.0	NA	3.0	5.0	NA	15.0	8.0	16.0	57.0	NA	NA	12.0	NA
373	IGHV8-1*01	NA	IGHJ2-4*01	53.0	72.0	17.0	35.0	82.0	2.0	122.0	135.0	60.0	27.0	29.0	84.0	49.0	63.0
374	IGHV8-1*01	NA	IGHJ2-5*01	6.0	35.0	NA	11.0	8.0	1.0	77.0	58.0	38.0	282.0	17.0	12.0	2.0	6.0
375	IGHV8-2*01	IGHD2-2*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA
376	IGHV8-2*01	IGHD2-4*01	IGHJ2-5*01	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
377	IGHV8-2*01	IGHD2-5*01	IGHJ2-1*01	1.0	3.0	2.0	NA	2.0	NA	NA	NA	NA	NA	4.0	NA	20.0	NA
378	IGHV8-2*01	IGHD2-5*01	IGHJ2-4*01	1.0	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	10.0	NA	NA
379	IGHV8-2*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
380	IGHV8-2*01	NA	IGHJ2-1*01	63.0	71.0	106.0	2.0	87.0	NA	24.0	6.0	91.0	73.0	69.0	291.0	174.0	650.0
381	IGHV8-2*01	NA	IGHJ2-2*01	15.0	7.0	39.0	NA	25.0	NA	23.0	7.0	44.0	43.0	18.0	193.0	242.0	1.0
382	IGHV8-2*01	NA	IGHJ2-3*01	NA	1.0	NA	NA	7.0	NA	NA	NA	2.0	NA	1.0	27.0	2.0	NA
383	IGHV8-2*01	NA	IGHJ2-4*01	62.0	38.0	37.0	2.0	49.0	NA	23.0	4.0	71.0	15.0	38.0	144.0	68.0	13.0
384	IGHV8-2*01	NA	IGHJ2-5*01	12.0	809.0	40.0	1.0	13.0	NA	16.0	5.0	21.0	NA	255.0	39.0	58.0	2.0
385	IGHV8-3*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
386	IGHV8-3*01	IGHD2-5*01	IGHJ2-1*01	NA	4.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	1.0
387	IGHV8-3*01	IGHD2-5*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	1.0	5.0	NA
388	IGHV8-3*01	IGHD2-5*01	IGHJ2-4*01	NA	2.0	NA	NA	NA	NA	NA	NA	2.0	NA	8.0	3.0	1.0	NA
389	IGHV8-3*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0
390	IGHV8-3*01	NA	IGHJ2-1*01	52.0	67.0	53.0	873.0	64.0	124.0	168.0	126.0	178.0	49.0	109.0	311.0	364.0	141.0
391	IGHV8-3*01	NA	IGHJ2-2*01	158.0	97.0	87.0	302.0	78.0	209.0	215.0	175.0	167.0	166.0	512.0	630.0	429.0	156.0
392	IGHV8-3*01	NA	IGHJ2-3*01	6.0	13.0	3.0	20.0	14.0	NA	25.0	60.0	10.0	10.0	22.0	14.0	54.0	3.0
393	IGHV8-3*01	NA	IGHJ2-4*01	26.0	74.0	135.0	326.0	88.0	48.0	191.0	212.0	87.0	872.0	156.0	146.0	239.0	156.0
394	IGHV8-3*01	NA	IGHJ2-5*01	14.0	21.0	5.0	45.0	19.0	9.0	64.0	32.0	34.0	2639.0	158.0	35.0	40.0	58.0
395	IGHV8-4*01	IGHD2-2*01	IGHJ2-4*01	NA	NA	NA	4.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
396	IGHV8-4*01	IGHD2-4*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
397	IGHV8-4*01	IGHD2-5*01	IGHJ2-1*01	NA	1.0	NA	NA	1.0	NA	NA	NA	NA	NA	2.0	1.0	3.0	NA
398	IGHV8-4*01	IGHD2-5*01	IGHJ2-2*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
399	IGHV8-4*01	IGHD2-5*01	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
400	IGHV8-4*01	IGHD2-5*01	IGHJ2-4*01	1.0	1.0	2.0	NA	NA	NA	NA	NA	2.0	NA	NA	NA	2.0	NA
401	IGHV8-4*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
402	IGHV8-4*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	6.0	NA	NA	NA
403	IGHV8-4*01	NA	IGHJ2-1*01	85.0	144.0	39.0	142.0	103.0	NA	66.0	50.0	122.0	677.0	121.0	243.0	283.0	22.0
404	IGHV8-4*01	NA	IGHJ2-2*01	86.0	444.0	50.0	101.0	36.0	NA	18.0	54.0	251.0	18.0	145.0	141.0	568.0	554.0
405	IGHV8-4*01	NA	IGHJ2-3*01	3.0	16.0	1.0	10.0	21.0	NA	6.0	5.0	16.0	1.0	16.0	53.0	339.0	58.0
406	IGHV8-4*01	NA	IGHJ2-4*01	87.0	107.0	168.0	85.0	54.0	1.0	50.0	33.0	82.0	75.0	842.0	229.0	169.0	9.0
407	IGHV8-4*01	NA	IGHJ2-5*01	11.0	11.0	30.0	30.0	8.0	NA	40.0	31.0	24.0	6.0	27.0	97.0	41.0	36.0
408	IGHV9-1*01	NA	IGHJ2-1*01	NA	NA	NA	NA	NA	1.0	3.0	NA	NA	NA	NA	NA	1.0	NA
409	IGHV9-1*01	NA	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
410	IGHV9-2*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA
411	IGHV9-2*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
412	IGHV9-2*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
413	IGHV9-2*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
414	IGHV9-2*01	NA	IGHJ2-1*01	102.0	65.0	33.0	1.0	37.0	2.0	NA	NA	34.0	29.0	118.0	119.0	139.0	1.0
415	IGHV9-2*01	NA	IGHJ2-2*01	NA	NA	NA	NA	1.0	1.0	NA	NA	4.0	NA	NA	1.0	4.0	NA
416	IGHV9-2*01	NA	IGHJ2-4*01	9.0	4.0	NA	1.0	18.0	NA	NA	1.0	3.0	2.0	9.0	14.0	48.0	NA
417	IGHV9-2*01	NA	IGHJ2-5*01	55.0	11.0	38.0	3.0	38.0	NA	NA	NA	8.0	7.0	7.0	44.0	116.0	NA
418	IGHV9-3*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
419	IGHV9-3*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
420	IGHV9-3*01	NA	IGHJ2-1*01	1.0	1.0	NA	2.0	1.0	NA	1.0	4.0	8.0	1.0	23.0	8.0	NA	4.0
421	IGHV9-3*01	NA	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	3.0	NA	2.0	NA	NA	2.0	NA	1.0
422	IGHV9-3*01	NA	IGHJ2-4*01	1.0	NA	NA	NA	NA	NA	3.0	NA	NA	2.0	5.0	4.0	NA	1.0
423	IGHV9-3*01	NA	IGHJ2-5*01	NA	NA	NA	2.0	NA	1.0	NA	NA	1.0	NA	4.0	3.0	NA	1.0
424	IGHV9-4*01	NA	IGHJ1-1*01	NA	NA	NA	NA	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA
425	IGHV9-4*01	NA	IGHJ2-1*01	NA	NA	1.0	2.0	2.0	1.0	NA	4.0	8.0	NA	3.0	3.0	1.0	1.0
426	IGHV9-4*01	NA	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.0	NA
427	IGHV9-4*01	NA	IGHJ2-3*01	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
428	IGHV9-4*01	NA	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	5.0	1.0	NA	3.0	NA
429	IGHV9-4*01	NA	IGHJ2-5*01	NA	1.0	NA	2.0	NA	2.0	NA	2.0	1.0	NA	NA	8.0	1.0	NA
