	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
88	IGHV11-2*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA
89	IGHV11-2*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA
90	IGHV11-2*01	NA	IGHJ2-1*01	14.0	15.0	5.0	2.0	46.0	NA	102.0	61.0	126.0	371.0	183.0	4087.0	238.0	169.0
91	IGHV11-2*01	NA	IGHJ2-2*01	2.0	NA	NA	NA	1.0	NA	18.0	38.0	23.0	43.0	24.0	64.0	102.0	1.0
92	IGHV11-2*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
93	IGHV11-2*01	NA	IGHJ2-4*01	10.0	7.0	1.0	1.0	NA	NA	162.0	52.0	51.0	4858.0	72.0	185.0	86.0	34.0
94	IGHV11-2*01	NA	IGHJ2-5*01	1.0	NA	3.0	1.0	1.0	NA	31.0	51.0	63.0	9.0	70.0	68.0	32.0	7.0
95	IGHV13-2*01	IGHD2-1*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.0	1.0	NA	NA	NA
96	IGHV13-2*01	IGHD2-2*01	IGHJ2-1*01	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	IGHV13-2*01	IGHD2-4*01	IGHJ2-1*01	1.0	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	2.0	1.0	NA
98	IGHV13-2*01	IGHD2-4*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	1.0
99	IGHV13-2*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA
100	IGHV13-2*01	IGHD2-5*01	IGHJ2-1*01	4.0	NA	7.0	NA	NA	NA	NA	NA	4.0	NA	5.0	954.0	10.0	NA
101	IGHV13-2*01	IGHD2-5*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
102	IGHV13-2*01	IGHD2-5*01	IGHJ2-4*01	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	7.0	3.0	4.0	NA
103	IGHV13-2*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
104	IGHV13-2*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
105	IGHV13-2*01	NA	IGHJ1-2*01	NA	NA	NA	1.0	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA
106	IGHV13-2*01	NA	IGHJ2-1*01	252.0	521.0	205.0	193.0	257.0	NA	462.0	225.0	161.0	12558.0	299.0	467.0	487.0	186.0
107	IGHV13-2*01	NA	IGHJ2-2*01	27.0	46.0	8.0	7.0	95.0	NA	24.0	26.0	22.0	1873.0	19.0	56.0	176.0	33.0
108	IGHV13-2*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	3.0	NA
109	IGHV13-2*01	NA	IGHJ2-4*01	135.0	252.0	76.0	101.0	255.0	NA	139.0	125.0	80.0	77.0	118.0	204.0	239.0	93.0
110	IGHV13-2*01	NA	IGHJ2-5*01	94.0	160.0	289.0	53.0	131.0	NA	134.0	128.0	104.0	34.0	128.0	96.0	152.0	39.0
111	IGHV14-1*01	IGHD1-2*01	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
112	IGHV14-1*01	IGHD1-2*01	IGHJ1-2*01	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	IGHV14-1*01	IGHD1-2*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA
114	IGHV14-1*01	IGHD1-2*01	IGHJ2-2*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115	IGHV14-1*01	IGHD1-2*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
116	IGHV14-1*01	IGHD2-1*01	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA
117	IGHV14-1*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
118	IGHV14-1*01	IGHD2-2*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA
119	IGHV14-1*01	IGHD2-3*01	IGHJ2-1*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
120	IGHV14-1*01	IGHD2-3*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA
121	IGHV14-1*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	2.0	2.0	NA	1.0	1.0	12.0	15.0	NA
122	IGHV14-1*01	IGHD2-4*01	IGHJ2-2*01	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
123	IGHV14-1*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	19.0	1.0	4.0	8.0	NA
124	IGHV14-1*01	IGHD2-5*01	IGHJ2-2*01	NA	2.0	1.0	NA	NA	NA	NA	NA	5.0	NA	3.0	15.0	1.0	NA
125	IGHV14-1*01	IGHD2-5*01	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	2.0	NA
